symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	curation_confidence	pathway_depth_rank	pathway_depth_scaled	is_upstream_core	is_checkpoint_layer	is_downstream_diversification	is_substrate_support	checkpoint_proximity	ost_or_lbo_core_member	er_quality_control_member	catastrophic_potential_prior	branching_role	terminal_modification_role	interface_layer_prior	glycan_output_layer	regulatory_or_trans_layer_candidate	has_paralog_family	paralog_family_name	redundancy_prior	low_specificity_terminal_enzyme	graph_in_degree_primary_reaction	graph_out_degree_primary_reaction	graph_total_degree_primary_reaction	graph_betweenness_primary_reaction	graph_closeness_primary_reaction	graph_component_id_primary_reaction	architecture_version	architecture_notes
DAD1	ENSG00000129562	ost_transfer	upstream_core	yes	yes	high	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	no		low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
RPN1	ENSG00000163902	ost_transfer	upstream_core	yes	yes	high	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	no		low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
RPN2	ENSG00000291973	ost_transfer	upstream_core	yes	yes	high	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	no		low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
OST4	ENSG00000228474	ost_transfer	upstream_core	yes	yes	high	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	yes	OST	low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
OSTC	ENSG00000198856	ost_transfer	upstream_core	yes	yes	high	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	yes	OST	low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
TMEM258	ENSG00000134825	ost_transfer	upstream_core	yes	yes	medium	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	no		low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
MAGT1	ENSG00000102158	ost_transfer	upstream_core	yes	yes	medium	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	no		low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
TUSC3	ENSG00000104723	ost_transfer	upstream_core	yes	yes	medium	3	0.3333	yes	no	no	no	adjacent	yes	no	high	not_branching	no	low	no	no	no		low	no	0	2	2	0.0	0.0	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
MOGS	ENSG00000115275	er_quality_control	checkpoint_layer	yes	yes	high	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	4	2	6	0.1201010101010101	0.07420289855072464	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
GANAB	ENSG00000089597	er_quality_control	checkpoint_layer	yes	yes	high	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	1	4	5	0.058838383838383836	0.061317365269461084	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
