symbol	ensembl_gene_id_repo	constraint_ensembl_gene_id	constraint_symbol	constraint_metric_available	join_status	join_notes
CANX	ENSG00000283777			no	missing_constraint	No constraint metrics matched by Ensembl gene ID.
CALR	ENSG00000179218	ENSG00000179218	CALR	yes	matched_ensembl_symbol	
PDIA3	ENSG00000167004	ENSG00000167004	PDIA3	yes	matched_ensembl_symbol	
MAN1B1	ENSG00000177239	ENSG00000177239	MAN1B1	yes	matched_ensembl_symbol	
EDEM1	ENSG00000134109	ENSG00000134109	EDEM1	yes	matched_ensembl_symbol	
EDEM2	ENSG00000088298	ENSG00000088298	EDEM2	yes	matched_ensembl_symbol	
EDEM3	ENSG00000116406	ENSG00000116406	EDEM3	yes	matched_ensembl_symbol	
MLEC	ENSG00000110917	ENSG00000110917	MLEC	yes	matched_ensembl_symbol	
NGLY1	ENSG00000151092	ENSG00000151092	NGLY1	yes	matched_ensembl_symbol	
ENGASE	ENSG00000167280	ENSG00000167280	ENGASE	yes	matched_ensembl_symbol	
OS9	ENSG00000135506	ENSG00000135506	OS9	yes	matched_ensembl_symbol	
SEL1L	ENSG00000071537	ENSG00000071537	SEL1L	yes	matched_ensembl_symbol	
MAN1A1	ENSG00000111885	ENSG00000111885	MAN1A1	yes	matched_ensembl_symbol	
MAN1A2	ENSG00000198162	ENSG00000198162	MAN1A2	yes	matched_ensembl_symbol	
MAN1C1	ENSG00000117643	ENSG00000117643	MAN1C1	yes	matched_ensembl_symbol	
MGAT1	ENSG00000131446	ENSG00000131446	MGAT1	yes	matched_ensembl_symbol	
MAN2A1	ENSG00000112893	ENSG00000112893	MAN2A1	yes	matched_ensembl_symbol	
MAN2A2	ENSG00000196547	ENSG00000196547	MAN2A2	yes	matched_ensembl_symbol	
MGAT2	ENSG00000168282	ENSG00000168282	MGAT2	yes	matched_ensembl_symbol	
MGAT3	ENSG00000128268	ENSG00000128268	MGAT3	yes	matched_ensembl_symbol	
MGAT4A	ENSG00000071073	ENSG00000071073	MGAT4A	yes	matched_ensembl_symbol	
MGAT4B	ENSG00000284501			no	missing_constraint	No constraint metrics matched by Ensembl gene ID.
MGAT4C	ENSG00000182050	ENSG00000182050	MGAT4C	yes	matched_ensembl_symbol	
MGAT5	ENSG00000152127	ENSG00000152127	MGAT5	yes	matched_ensembl_symbol	
FUT8	ENSG00000033170	ENSG00000033170	FUT8	yes	matched_ensembl_symbol	
FUT3	ENSG00000171124	ENSG00000171124	FUT3	yes	matched_ensembl_symbol	
B4GALT1	ENSG00000086062	ENSG00000086062	B4GALT1	yes	matched_ensembl_symbol	
B4GALT2	ENSG00000117411	ENSG00000117411	B4GALT2	yes	matched_ensembl_symbol	
B4GALT3	ENSG00000158850	ENSG00000158850	B4GALT3	yes	matched_ensembl_symbol	
B4GALT4	ENSG00000121578	ENSG00000121578	B4GALT4	yes	matched_ensembl_symbol	
B4GALT5	ENSG00000158470	ENSG00000158470	B4GALT5	yes	matched_ensembl_symbol	
B4GALT6	ENSG00000118276	ENSG00000118276	B4GALT6	yes	matched_ensembl_symbol	
ST3GAL4	ENSG00000110080	ENSG00000110080	ST3GAL4	yes	matched_ensembl_symbol	
ST6GAL1	ENSG00000073849	ENSG00000073849	ST6GAL1	yes	matched_ensembl_symbol	
ST8SIA2	ENSG00000140557	ENSG00000140557	ST8SIA2	yes	matched_ensembl_symbol	
ST8SIA3	ENSG00000177511	ENSG00000177511	ST8SIA3	yes	matched_ensembl_symbol	
ST8SIA6	ENSG00000148488	ENSG00000148488	ST8SIA6	yes	matched_ensembl_symbol	
CHST8	ENSG00000124302	ENSG00000124302	CHST8	yes	matched_ensembl_symbol	
CHST10	ENSG00000115526	ENSG00000115526	CHST10	yes	matched_ensembl_symbol	
B4GALNT2	ENSG00000167080	ENSG00000167080	B4GALNT2	yes	matched_ensembl_symbol	
