symbol	match_basis	direct_glycome_match	interface_match	reported_gene_match	mapped_gene_match	study_accession	pubmed_id	first_author	publication_date	disease_trait	mapped_trait	trait_categories	reported_genes	mapped_genes	p_value
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	8e-11
ST6GAL1	mapped_gene	yes	yes	no	yes	GCST90129343	35332118	Landini A	2022-03-24	Immunoglobulin N-glycan 23 levels	serum IgG glycosylation measurement	glycome;immune_inflammation		ST6GAL1	2e-10
ST6GAL1	mapped_gene	yes	no	no	yes	GCST005656	29535710	Wahl A	2018-02-26	IgG glycosylation patterns	serum IgG glycosylation measurement	glycome;immune_inflammation	NR	ST6GAL1	1e-08
ST6GAL1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	ST6GAL1	2e-06
ST6GAL1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	ST6GAL1	2e-06
ST6GAL1	mapped_gene	yes	no	no	yes	GCST001848	23382691	Lauc G	2013-01-31	IgG glycosylation	serum IgG glycosylation measurement	cancer;glycome;immune_inflammation	NR	ST6GAL1	3e-06
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST90002387	32888494	Vuckovic D	2020-09-01	Immature fraction of reticulocytes	reticulocyte amount		ST6GAL1	ST6GAL1	7.000000000000001e-29
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST009379	30297969	Mahajan A	2018-10-08	Type 2 diabetes	type 2 diabetes mellitus		ST6GAL1	ST6GAL1	3e-22
ST6GAL1	reported_gene;mapped_gene	no	yes	yes	yes	GCST001674	22960999	Wu C	2012-09-09	Esophageal cancer (squamous cell)	carcinoma of esophagus, squamous cell carcinoma	cancer	ST6GAL1	ST6GAL1	6e-14
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST90002382	32888494	Vuckovic D	2020-09-01	Eosinophil percentage of white cells	eosinophil percentage of leukocytes	immune_inflammation	AC007690.1, ST6GAL1	RPL29P9 - ST6GAL1	1e-13
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST90002386	32888494	Vuckovic D	2020-09-01	High light scatter reticulocyte percentage of red cells	reticulocyte amount		ST6GAL1	ST6GAL1	6e-13
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST90002385	32888494	Vuckovic D	2020-09-01	High light scatter reticulocyte count	reticulocyte count		ST6GAL1	ST6GAL1	2e-12
ST6GAL1	reported_gene;mapped_gene	no	yes	yes	yes	GCST005990	29403010	Kanai M	2018-02-05	Non-albumin protein levels	level of serum globulin type protein	metabolism	ST6GAL1	ST6GAL1	8e-11
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST008170	30929638	Matana A	2019-03-30	Thyroglobulin plasma levels	thyroglobulin measurement		ST6GAL1	ST6GAL1	1e-10
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST010118	32499647	Spracklen CN	2020-05-06	Type 2 diabetes	type 2 diabetes mellitus		ST6GAL1	ST6GAL1	1e-10
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST002943	26028593	Li M	2015-06-01	IgA nephropathy	IgA glomerulonephritis		ST6GAL1	ST6GAL1	7e-10
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST006867	30054458	Xue A	2018-07-27	Type 2 diabetes	type 2 diabetes mellitus		ST6GAL1	ST6GAL1	2e-09
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST005987	29403010	Kanai M	2018-02-05	Albumin-globulin ratio	albumin:globulin ratio measurement		ST6GAL1	ST6GAL1	4e-09
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST012489	34046847	Yao Y	2021-05-27	Heel bone mineral density x serum urate levels interaction	heel bone mineral density, urate measurement		ST6GAL1	ST6GAL1	8e-09
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST000415	19483685	Daly AK	2009-05-31	Drug-induced liver injury (flucloxacillin)	drug-induced liver injury	tissue_identity	ST6GAL1	ST6GAL1	1e-08
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST001213	21874001	Kooner JS	2011-08-28	Type 2 diabetes	type 2 diabetes mellitus		ST6GAL1	ST6GAL1	3e-08
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST009379	30297969	Mahajan A	2018-10-08	Type 2 diabetes	type 2 diabetes mellitus		ST6GAL1	ST6GAL1	3e-08
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST007847	30718926	Suzuki K	2019-02-04	Type 2 diabetes	type 2 diabetes mellitus		ST6GAL1	ST6GAL1	3e-07
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST004253	28560309	Lee E	2017-04-23	Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction)	Alzheimer disease, cognitive decline measurement, Cognitive impairment		ST6GAL1	ST6GAL1	5e-07
ST6GAL1	reported_gene;mapped_gene	no	no	yes	yes	GCST000903	21130132	Mick E	2010-12-01	Response to methylphenidate treatment in attention-deficit/hyperactivity disorder (blood pressure)	response to methylphenidate		ST6GAL1	ST6GAL1	5e-06
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90315545	38412862	Suhre K	2024-02-20	NOTCH1/SEMA7A protein level ratio	NOTCH1/SEMA7A protein level ratio in blood	metabolism		ST6GAL1	2.0000000000000002e-226
